age,area,atmDistance,balconies,childrenPlayArea,clubHouse,garden,gym,hospitalDistance,joggingTrack,lift,powerBackup,price,restrauntDistance,schoolDistance,security,shoppingDistance,sportsFacility,status,swimmingPool
0,1250,0,1,0,0,0,0,0,0,0,0,4050000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1650,0,1,0,0,0,0,0,0,0,0,6100000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
0,3484,0.24662528620527316,0,0,0,0,0,0.28113318706568236,0,0,0,2640000,0.24780725211877994,0.23624613542374162,0,0.23033583516674946,0,2,0
0,5227,0.6325330255897412,0,0,0,0,0,0.7039972429754209,0,0,0,13500000,0.6715759037022427,0.6571938706433441,0,0.7065835676806397,0,2,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1500,0.8782551743169534,1,0,0,0,0,0.23284148114223718,0,0,0,4250000,0.5151961519359208,0.3163184023281781,0,0.4973647713029686,0,0,0
0,9540,0.34807252213500706,0,0,0,0,0,0.34061635006965135,0,0,0,21600000,0.35071576928798626,0.3418355814932292,0,0.30714333675707217,0,2,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,1500,0,0,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
2,1500,0,1,0,0,0,0,0,0,0,0,3381000,0,0,0,0,0,1,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,1650,0,1,0,0,0,0,0,0,0,0,6100000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0.16620083086467302,0,0,0,3800000,0,0.18453604413197966,0,0,0,0,0
1,15696,0.44889215690074336,0,0,0,0,0,0.4919785418587375,0,0,0,16800000,0.48179634429166146,0.4731649720330903,0,0.4669836916128007,0,1,0
5,1550,0.2939350719481758,0,0,0,0,0,0.3177038540233048,0,0,0,6200000,0.2829481959379343,0.31645652525904294,0,0.2785449977625244,0,1,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,2100,0.26836514184692745,1,0,0,0,0,0.2669432450005216,0,0,0,7600000,0.2963895386819396,0.25081875181869545,0,0.25667542252953907,0,0,0
1,2998,0.3920132898626121,0,0,0,0,0,0.27261656334468903,0,0,0,9000000,0.6482663705630193,0.21681209041000385,0,0.5554100675763941,0,1,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
2,1500,0,1,0,0,0,0,0,0,0,0,3695000,0,0,0,0,0,1,0
0,2100,0.26836514184692745,1,0,1,0,1,0.2669432450005216,0,0,0,8000000,0.2963895386819396,0.25081875181869545,0,0.25667542252953907,0,0,0
0,1500,0.3401266228668201,0,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
2,3600,0.34997669734442616,1,0,0,0,0,0.35579729389228915,0,0,0,7500000,0.3706576328162842,0.38167837063157417,0,0.30968306386003985,0,1,0
0,2100,0.722318816640225,1,0,0,0,0,0.6759544249247429,0,0,0,8000000,0.728412236051722,0.7159551477696197,0,0.7545290675979964,0,0,0
0,600,0.6349437729461704,0,0,0,0,0,0.6416964455714815,0,0,0,2500000,0.6875768739834989,0.6794892787111977,0,0.6139146187291288,0,2,0
0,1005,2.6918213863425984,0,1,0,0,0,0.38375232373258106,0,1,1,3800000,3.0919075619106358,0.31243975213665526,0,0.5982123498609023,1,1,0
0,1500,0,0,0,0,0,0,0,0,0,0,3130000,0,0,0,0,0,0,0
0,3100,0,2,0,0,0,0,0,0,0,0,8000000,0,0,0,0,0,0,0
0,500,0.7516996933855797,0,0,0,0,0,0.7692472768431442,0,0,0,2600000,0.7756312996275159,0.7615052628832601,0,0.6862526915481635,0,1,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,4500000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0
0,1300,0.27836013739964527,1,0,0,0,0,0.27660740057447863,0,0,0,5000000,0.2538062306357191,0.2540151590555305,0,0.27563071353684115,0,0,0
0,1500,0.24719443068600422,0,0,0,0,0,0.2506342313791225,0,0,0,3950000,0.26983596711484376,0.26534201064483287,0,0.23370552095342537,0,0,0
10,863,0.41434611875116284,0,0,1,0,1,0.4087601481871278,0,1,1,3500000,0.3826758719718246,0.4356181414898459,1,0.363307662894486,0,1,1
0,1550,0,1,0,0,0,0,0,0,0,0,5219000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3900000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,3100,0,2,0,0,0,0,0,0,0,0,8000000,0,0,0,0,0,0,0
0,1100,0.2405756769765137,1,0,0,0,0,0.24005729097077363,0,0,0,4700000,0.24747825593810457,0.2518170592726574,0,0.22842069107434307,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4750000,0,0,0,0,0,0,0
0,2100,0.289074006704174,1,0,1,0,1,0.2527858244836698,0,0,0,8000000,0.2822711481826336,0.2803155746092486,0,0.28318517936955817,0,0,0
0,1250,0,1,0,0,0,0,0.16620083086467302,0,0,0,4000000,0,0.18453604413197966,0,0,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,4050000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,2100,0.2918940032856747,1,0,0,0,0,0.2675551764452874,0,0,0,7600000,0.2647136424100681,0.2906279936359043,0,0.23399839544534712,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3130000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
8,2601,0.40835603681748006,2,0,0,0,0,0.37458257838159636,0,0,0,14000000,0.39316086066524053,0.38428382863895344,0,0.3463096980798652,0,1,0
0,2100,0.4491289681023204,0,0,0,0,0,0.5453023645582562,0,0,0,7600000,0.478737545632169,0.5291908206556696,0,0.5777455632804486,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,1640,0,3,0,0,0,0,0.27165622084736546,0,0,1,6350000,0,0.24637792015460963,1,0.36264388522020286,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,1300,0.2405756769765137,1,0,0,0,0,0.24005729097077363,0,0,0,6500000,0.24747825593810457,0.2518170592726574,0,0.22842069107434307,0,0,0
21,1550,0.32497250382990395,0,0,0,0,0,0.30077117801042413,0,0,0,6000000,0.32427090795356805,0.37776503704030556,0,0.36027416444363475,0,1,0
0,2100,0.722318816640225,1,0,0,0,0,0.6759544249247429,0,0,0,4250000,0.728412236051722,0.7159551477696197,0,0.7545290675979964,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0.2668717837647713,0,0,0,0,0
2,3186,0.5596333833706518,0,1,1,0,1,0.508984686482187,1,1,1,36000000,0.5657140976054822,0.5500075497210714,1,0.494501812643813,0,1,1
0,1250,0,1,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0
0,1480,0.3988335487225474,0,0,0,0,0,0.39144189565344595,0,0,0,16000000,0.372132374606107,0.3694701778136731,0,0.3358196981225885,0,1,0
0,1500,0.722318816640225,1,0,0,0,0,0.6759544249247429,0,0,0,3950000,0.728412236051722,0.7159551477696197,0,0.7545290675979964,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
