age,amneties,area,atmDistance,balconies,bathrooms,hospitalDistance,price,restrauntDistance,schoolDistance,shoppingDistance,status
0,0,1250,0,0,3,0,3000000,0,0,0,2
0,0,1500,0,1,3,0,3900000,0,0,0,2
0,0,1550,0,1,3,0,5219000,0,0,0,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
2,1,937,0.292334735859094,0,2,0.28820361171679865,2600000,0,0.24404466485645027,0.2163249995448427,3
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1500,0.8782551743169534,1,3,0.23284148114223718,3950000,0.5151961519359208,0.3163184023281781,0.4973647713029686,2
0,0,20000,0,0,0,0.3039870267682573,93600000,0,0.32851174075185435,0.36661061261209876,1
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,3550000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,1500,0,1,3,0.15621909551751478,3900000,0,0.17266671339573184,0,2
0,0,3100,0.33149071073570724,1,4,0.31896957631795936,11000000,0.3690982541018343,0.3369057926189307,0.31583746921300443,2
0,0,1500,0,1,3,0,4500000,0,0,0,2
0,2,2100,0.92532916876876,0,3,0.9009638644580303,8000000,0.8542771639639999,0.9003939690249887,1.001354643690356,2
0,0,3702,0.3022319297442655,0,0,0.33045497652124234,5950000,0.28160642466149494,0.3282232636068229,0.31241571043931543,1
0,0,1550,0,1,3,0,5219000,0,0,0,2
0,0,1500,0,1,3,0,3130000,0,0,0,2
0,0,2100,0.21705789053339164,1,3,0.2298365755960024,7600000,0.22322979641918517,0.23395249192492543,0.19667881879254695,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,4500000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,1500,0,1,3,0.16620083086467302,4500000,0,0.18453604413197966,0,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,3550000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,2100,0.6137641779088492,1,3,0.6456298691406334,8000000,0.6242365922516401,0.6483687216857055,0.6504553768207366,2
0,0,1000,0.3401266228668201,0,2,0.5564459135698088,2000000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,1500,0,1,3,0,3800000,0,0,0,2
0,0,1850,0.3401266228668201,1,3,0.5564459135698088,7500000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,2100,0.6825897031222594,1,3,0.8172693937008984,8500000,0.7600544234790985,0.8090932231910495,0.6871004237800592,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1500,0,1,3,0,4250000,0,0,0,2
0,0,1500,0,1,3,0,3800000,0,0,0,2
0,0,1000,0,0,2,0,2000000,0,0,0,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,3550000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,1500,0,1,3,0,4250000,0,0,0,2
